Gene stable ID	Gene stable ID version	Gene name	Gene description	Phenotype description
ENSG00000005381	ENSG00000005381.7	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]	Alzheimer disease
ENSG00000005381	ENSG00000005381.7	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]	MYELOPEROXIDASE DEFICIENCY
ENSG00000008988	ENSG00000008988.9	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	Familial colorectal cancer Type X
ENSG00000019582	ENSG00000019582.14	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	
ENSG00000044574	ENSG00000044574.7	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	
ENSG00000070756	ENSG00000070756.15	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	
ENSG00000075624	ENSG00000075624.14	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	BARAITSER-WINTER SYNDROME 1
ENSG00000075624	ENSG00000075624.14	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	DYSTONIA JUVENILE-ONSET
ENSG00000075624	ENSG00000075624.14	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	ACTB Haploinsufficiency syndtome
ENSG00000075624	ENSG00000075624.14	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	Baraitser-Winter syndrome
ENSG00000075624	ENSG00000075624.14	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	Baraitser-Winter cerebrofrontofacial syndrome
ENSG00000075624	ENSG00000075624.14	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	Becker nevus syndrome
ENSG00000075624	ENSG00000075624.14	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	Developmental malformations-deafness-dystonia syndrome
ENSG00000087086	ENSG00000087086.14	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	HYPERFERRITINEMIA WITH OR WITHOUT CATARACT
ENSG00000087086	ENSG00000087086.14	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	L-FERRITIN DEFICIENCY
ENSG00000087086	ENSG00000087086.14	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 3
ENSG00000087086	ENSG00000087086.14	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	HEREDITARY HYPERFERRITINEMIA-CATARACT SYNDROME
ENSG00000087086	ENSG00000087086.14	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	Genetic hyperferritinemia without iron overload
ENSG00000087086	ENSG00000087086.14	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	Neuroferritinopathy
ENSG00000100097	ENSG00000100097.11	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	
ENSG00000100316	ENSG00000100316.15	RPL3	ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	
ENSG00000105372	ENSG00000105372.7	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	DIAMOND-BLACKFAN ANEMIA 1
ENSG00000105372	ENSG00000105372.7	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	RPS19-Related Diamond-Blackfan Anemia
ENSG00000105372	ENSG00000105372.7	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	Blackfan-Diamond anemia
ENSG00000108107	ENSG00000108107.14	RPL28	ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:10330]	
ENSG00000108518	ENSG00000108518.7	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	AMYOTROPHIC LATERAL SCLEROSIS 18
ENSG00000108518	ENSG00000108518.7	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	Amyotrophic lateral sclerosis
ENSG00000111640	ENSG00000111640.14	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	
ENSG00000112306	ENSG00000112306.7	RPS12	ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]	
ENSG00000120129	ENSG00000120129.5	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	
ENSG00000122862	ENSG00000122862.4	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	
ENSG00000128016	ENSG00000128016.5	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	
ENSG00000134419	ENSG00000134419.15	RPS15A	ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389]	
ENSG00000137154	ENSG00000137154.12	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	
ENSG00000138326	ENSG00000138326.19	RPS24	ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411]	DIAMOND-BLACKFAN ANEMIA 3
